Experiment	bias spectroscopy	
Date	14.01.2016 15:19:44	
User		
X (m)	0E+0	
Y (m)	0E+0	
Z (m)	300E-9	
Z offset (m)	0E+0	
Settling time (s)	5E-3	
Integration time (s)	1E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	300E-9	
Filter type	Gaussian	
Order	6	
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Current [bwd] (A)	Current (A) [filt]	Current (A) [bwd] [filt]
-52.0000E+0	36.9290E-12	48.6081E-12	36.9290E-12	48.6081E-12
-52.0500E+0	41.3754E-12	57.2202E-12	38.2213E-12	50.9411E-12
-52.1000E+0	34.3869E-12	54.1165E-12	39.7019E-12	53.6097E-12
-52.1500E+0	35.1438E-12	53.1522E-12	41.2997E-12	55.9653E-12
-52.2000E+0	43.8413E-12	55.4257E-12	42.7109E-12	58.1763E-12
-52.2500E+0	40.8750E-12	63.8089E-12	44.3555E-12	60.5992E-12
-52.3000E+0	45.8432E-12	60.8212E-12	46.0520E-12	63.0025E-12
-52.3500E+0	50.6467E-12	66.0977E-12	47.5356E-12	64.9638E-12
-52.4000E+0	57.1195E-12	72.4484E-12	49.0773E-12	66.7291E-12
-52.4500E+0	52.7432E-12	70.2542E-12	50.8706E-12	68.7981E-12
-52.5000E+0	51.6232E-12	67.9013E-12	52.5455E-12	70.8259E-12
-52.5500E+0	55.0931E-12	74.3741E-12	53.9926E-12	72.8957E-12
-52.6000E+0	49.3619E-12	73.3273E-12	55.5969E-12	75.0065E-12
-52.6500E+0	50.8725E-12	72.2592E-12	56.9570E-12	77.2255E-12
-52.7000E+0	59.4754E-12	76.7850E-12	58.3115E-12	79.2765E-12
-52.7500E+0	62.3868E-12	83.4836E-12	59.7962E-12	81.5172E-12
-52.8000E+0	62.7652E-12	82.6444E-12	61.2451E-12	83.8626E-12
-52.8500E+0	65.3836E-12	87.2647E-12	62.5344E-12	86.0507E-12
-52.9000E+0	66.3083E-12	94.3631E-12	63.8252E-12	88.2334E-12
-52.9500E+0	63.2932E-12	91.1801E-12	65.5784E-12	90.5252E-12
-53.0000E+0	66.5250E-12	89.6726E-12	67.1986E-12	92.8642E-12
-53.0500E+0	73.2877E-12	98.6691E-12	68.8659E-12	95.2496E-12
-53.1000E+0	65.8994E-12	96.9083E-12	70.9025E-12	97.7507E-12
-53.1500E+0	63.0795E-12	91.7478E-12	72.9598E-12	100.289E-12
-53.2000E+0	70.4099E-12	101.053E-12	74.9801E-12	102.820E-12
