Experiment	LongTerm Data	
Date	05.01.2016 16:35:53	
User		
Base Timestamp	2016-01-05 15:36:27.26	

[DATA]
Rel. Time (s)	Z (m)
0.00000E+0	25.1400E-9
1.00006E+0	25.2824E-9
2.00011E+0	25.4086E-9
3.00017E+0	16.7129E-9
4.00023E+0	23.8380E-9
5.00029E+0	37.6645E-9
6.00034E+0	17.1360E-9
7.00240E+0	21.3380E-9
7.99946E+0	38.5522E-9
8.99952E+0	19.7201E-9
9.99957E+0	19.0088E-9
10.9996E+0	27.4110E-9
11.9997E+0	26.4146E-9
12.9997E+0	26.4608E-9
13.9998E+0	26.5021E-9
14.9999E+0	26.5563E-9
15.9999E+0	26.5887E-9
17.0000E+0	26.6396E-9
18.0000E+0	26.6683E-9
19.0001E+0	26.7086E-9
20.0001E+0	26.7602E-9
21.0002E+0	26.7816E-9
22.0003E+0	26.8158E-9
23.0003E+0	26.8485E-9
24.0004E+0	26.8824E-9
25.0004E+0	26.9162E-9
25.9995E+0	26.9458E-9
26.9995E+0	26.9763E-9
27.9996E+0	27.0027E-9
28.9997E+0	27.0462E-9
29.9997E+0	26.8599E-9
30.9998E+0	27.0412E-9
31.9998E+0	26.9187E-9
32.9999E+0	27.1094E-9
33.9999E+0	26.9850E-9
35.0000E+0	27.1727E-9
36.0001E+0	27.0464E-9
37.0001E+0	27.2317E-9
38.0002E+0	27.1065E-9
39.0002E+0	27.2873E-9
40.0003E+0	27.1614E-9
41.0003E+0	27.3801E-9
42.0004E+0	27.4008E-9
42.9995E+0	27.4284E-9
43.9995E+0	27.4441E-9
44.9996E+0	27.4672E-9
45.9996E+0	27.4898E-9
46.9997E+0	27.5096E-9
47.9997E+0	27.5385E-9
48.9998E+0	27.5520E-9
49.9999E+0	27.5725E-9
50.9999E+0	27.3944E-9
52.0000E+0	27.5569E-9
53.0000E+0	27.4392E-9
54.0001E+0	27.5972E-9
55.0001E+0	27.4839E-9
56.0002E+0	27.6373E-9
57.0003E+0	27.5251E-9
58.0003E+0	27.6791E-9
59.0004E+0	27.5710E-9
60.0004E+0	27.7156E-9
60.9995E+0	27.6160E-9
61.9995E+0	27.7566E-9
62.9996E+0	27.6607E-9
64.0017E+0	27.7885E-9
64.9997E+0	27.7036E-9
66.0008E+0	27.8197E-9
67.0008E+0	27.7390E-9
68.0029E+0	27.8525E-9
69.0149E+0	27.7765E-9
70.0070E+0	27.8832E-9
71.0011E+0	27.8196E-9
72.0001E+0	27.9150E-9
73.0012E+0	27.8670E-9
74.0042E+0	27.9465E-9
75.0033E+0	27.8997E-9
76.0033E+0	27.9636E-9
77.0044E+0	27.9381E-9
