Experiment	Oscilloscope	
Date	10.06.2016 17:36:09	
User		
AC	154.355E-12	
DC	-500.002E-12	
Pk-Pk	1.11585E-9	
Signal Unit	A	

[DATA]
Time (s)	Current (A)
0.00000E+0	-472.500E-12
12.5000E-3	-447.313E-12
25.0000E-3	-472.197E-12
37.5000E-3	-530.879E-12
50.0000E-3	-496.670E-12
62.5000E-3	-444.049E-12
75.0000E-3	-506.136E-12
87.5000E-3	-486.538E-12
100.000E-3	-464.953E-12
112.500E-3	-487.943E-12
125.000E-3	-473.015E-12
137.500E-3	-457.477E-12
150.000E-3	-302.059E-12
162.500E-3	-1.20262E-9
175.000E-3	-704.701E-12
187.500E-3	-273.858E-12
200.000E-3	-617.804E-12
212.500E-3	-483.852E-12
225.000E-3	-446.006E-12
237.500E-3	-497.914E-12
250.000E-3	-513.303E-12
262.500E-3	-490.401E-12
275.000E-3	-471.084E-12
287.500E-3	-489.513E-12
300.000E-3	-495.098E-12
312.500E-3	-456.857E-12
325.000E-3	-460.764E-12
337.500E-3	-461.207E-12
350.000E-3	-464.313E-12
362.500E-3	-461.656E-12
375.000E-3	-460.923E-12
387.500E-3	-496.782E-12
400.000E-3	-350.245E-12
412.500E-3	-523.392E-12
425.000E-3	-1.26738E-9
437.500E-3	-360.071E-12
450.000E-3	-380.629E-12
462.500E-3	-579.352E-12
475.000E-3	-468.409E-12
487.500E-3	-429.944E-12
500.000E-3	-452.744E-12
512.500E-3	-546.159E-12
525.000E-3	-481.715E-12
537.500E-3	-437.108E-12
550.000E-3	-455.476E-12
562.500E-3	-631.169E-12
575.000E-3	-509.250E-12
587.500E-3	-448.301E-12
600.000E-3	-462.231E-12
612.500E-3	-467.060E-12
625.000E-3	-480.356E-12
637.500E-3	-487.793E-12
650.000E-3	-456.001E-12
662.500E-3	-283.937E-12
675.000E-3	-1.18779E-9
687.500E-3	-693.121E-12
700.000E-3	-276.399E-12
712.500E-3	-528.662E-12
725.000E-3	-531.918E-12
737.500E-3	-455.289E-12
750.000E-3	-461.924E-12
762.500E-3	-470.025E-12
775.000E-3	-510.932E-12
787.500E-3	-482.583E-12
800.000E-3	-454.493E-12
812.500E-3	-486.666E-12
825.000E-3	-475.834E-12
837.500E-3	-468.336E-12
850.000E-3	-480.322E-12
862.500E-3	-459.058E-12
875.000E-3	-478.400E-12
887.500E-3	-480.232E-12
900.000E-3	-464.996E-12
912.500E-3	-388.103E-12
925.000E-3	-460.008E-12
937.500E-3	-1.36035E-9
950.000E-3	-341.651E-12
962.500E-3	-359.422E-12
975.000E-3	-616.174E-12
987.500E-3	-459.333E-12
1.00000E+0	-429.951E-12
1.01250E+0	-477.273E-12
1.02500E+0	-495.326E-12
1.03750E+0	-483.857E-12
1.05000E+0	-460.074E-12
1.06250E+0	-482.662E-12
1.07500E+0	-488.435E-12
1.08750E+0	-486.916E-12
1.10000E+0	-472.540E-12
1.11250E+0	-538.581E-12
1.12500E+0	-458.022E-12
1.13750E+0	-510.476E-12
1.15000E+0	-510.307E-12
1.16250E+0	-461.499E-12
1.17500E+0	-315.279E-12
1.18750E+0	-864.950E-12
1.20000E+0	-1.02319E-9
1.21250E+0	-264.641E-12
1.22500E+0	-454.005E-12
1.23750E+0	-579.270E-12
1.25000E+0	-404.879E-12
1.26250E+0	-473.976E-12
1.27500E+0	-506.373E-12
1.28750E+0	-468.346E-12
1.30000E+0	-485.968E-12
1.31250E+0	-489.103E-12
1.32500E+0	-488.585E-12
1.33750E+0	-485.196E-12
1.35000E+0	-455.146E-12
1.36250E+0	-477.461E-12
1.37500E+0	-472.505E-12
1.38750E+0	-443.847E-12
1.40000E+0	-493.430E-12
1.41250E+0	-464.197E-12
1.42500E+0	-420.139E-12
1.43750E+0	-304.167E-12
1.45000E+0	-1.02514E-9
1.46250E+0	-748.967E-12
1.47500E+0	-262.731E-12
1.48750E+0	-533.072E-12
1.50000E+0	-505.121E-12
1.51250E+0	-430.565E-12
1.52500E+0	-469.512E-12
1.53750E+0	-544.315E-12
1.55000E+0	-453.150E-12
1.56250E+0	-462.179E-12
1.57500E+0	-503.761E-12
1.58750E+0	-525.892E-12
1.60000E+0	-444.617E-12
1.61250E+0	-466.975E-12
1.62500E+0	-529.938E-12
1.63750E+0	-483.638E-12
1.65000E+0	-445.342E-12
1.66250E+0	-486.072E-12
1.67500E+0	-527.588E-12
1.68750E+0	-370.797E-12
1.70000E+0	-556.603E-12
1.71250E+0	-1.10329E-9
1.72500E+0	-314.986E-12
1.73750E+0	-424.202E-12
1.75000E+0	-590.533E-12
1.76250E+0	-434.955E-12
1.77500E+0	-461.765E-12
1.78750E+0	-466.564E-12
1.80000E+0	-499.899E-12
1.81250E+0	-447.157E-12
1.82500E+0	-479.347E-12
1.83750E+0	-521.028E-12
1.85000E+0	-461.813E-12
1.86250E+0	-450.558E-12
1.87500E+0	-492.877E-12
1.88750E+0	-489.900E-12
1.90000E+0	-453.723E-12
1.91250E+0	-461.745E-12
1.92500E+0	-515.780E-12
1.93750E+0	-512.464E-12
1.95000E+0	-295.332E-12
1.96250E+0	-882.815E-12
1.97500E+0	-902.202E-12
1.98750E+0	-262.888E-12
2.00000E+0	-524.659E-12
2.01250E+0	-538.758E-12
2.02500E+0	-431.738E-12
2.03750E+0	-485.745E-12
2.05000E+0	-466.744E-12
2.06250E+0	-479.131E-12
2.07500E+0	-475.666E-12
2.08750E+0	-455.610E-12
2.10000E+0	-490.657E-12
2.11250E+0	-494.360E-12
2.12500E+0	-446.642E-12
2.13750E+0	-507.659E-12
2.15000E+0	-478.882E-12
2.16250E+0	-447.047E-12
2.17500E+0	-449.269E-12
2.18750E+0	-485.528E-12
2.20000E+0	-414.083E-12
2.21250E+0	-308.036E-12
2.22500E+0	-1.08212E-9
2.23750E+0	-604.123E-12
2.25000E+0	-339.606E-12
2.26250E+0	-521.428E-12
2.27500E+0	-487.456E-12
2.28750E+0	-473.343E-12
2.30000E+0	-439.967E-12
2.31250E+0	-496.000E-12
2.32500E+0	-449.797E-12
2.33750E+0	-461.350E-12
2.35000E+0	-480.967E-12
2.36250E+0	-429.487E-12
2.37500E+0	-477.923E-12
2.38750E+0	-454.431E-12
2.40000E+0	-480.229E-12
2.41250E+0	-464.493E-12
2.42500E+0	-458.662E-12
2.43750E+0	-503.109E-12
2.45000E+0	-499.014E-12
2.46250E+0	-354.665E-12
2.47500E+0	-244.493E-12
2.48750E+0	-314.623E-12
2.50000E+0	-809.586E-12
2.51250E+0	-441.881E-12
2.52500E+0	-441.128E-12
2.53750E+0	-454.665E-12
2.55000E+0	-495.268E-12
2.56250E+0	-491.810E-12
2.57500E+0	-453.516E-12
2.58750E+0	-434.060E-12
2.60000E+0	-511.131E-12
2.61250E+0	-488.067E-12
2.62500E+0	-421.700E-12
2.63750E+0	-496.644E-12
2.65000E+0	-497.167E-12
2.66250E+0	-462.585E-12
2.67500E+0	-475.434E-12
2.68750E+0	-472.007E-12
2.70000E+0	-471.136E-12
2.71250E+0	-475.433E-12
2.72500E+0	-307.982E-12
2.73750E+0	-1.12389E-9
2.75000E+0	-656.632E-12
2.76250E+0	-273.255E-12
2.77500E+0	-564.728E-12
2.78750E+0	-489.442E-12
2.80000E+0	-431.245E-12
2.81250E+0	-459.171E-12
2.82500E+0	-513.924E-12
2.83750E+0	-468.099E-12
2.85000E+0	-450.366E-12
2.86250E+0	-454.078E-12
2.87500E+0	-478.780E-12
2.88750E+0	-481.897E-12
2.90000E+0	-452.390E-12
2.91250E+0	-487.727E-12
2.92500E+0	-479.514E-12
2.93750E+0	-469.855E-12
2.95000E+0	-461.539E-12
2.96250E+0	-479.388E-12
2.97500E+0	-411.964E-12
2.98750E+0	-334.471E-12
3.00000E+0	-1.12239E-9
3.01250E+0	-631.595E-12
3.02500E+0	-304.508E-12
3.03750E+0	-604.903E-12
3.05000E+0	-440.902E-12
3.06250E+0	-451.510E-12
3.07500E+0	-471.912E-12
3.08750E+0	-496.942E-12
3.10000E+0	-467.779E-12
3.11250E+0	-463.959E-12
3.12500E+0	-463.036E-12
3.13750E+0	-479.464E-12
3.15000E+0	-452.834E-12
3.16250E+0	-463.838E-12
3.17500E+0	-482.036E-12
3.18750E+0	-482.593E-12
