Experiment	Spectrum	
Date	04.05.2016 14:14:43	
User		
Saved Date		
Sampling period (dt)	1.25E-3	
Frequency resolution (Hz)	1.56	
FFT window	Hanning	
Averaging type	RMS	
Averaging weighting	Exponential	
Averaging count	10	

[DATA]
Frequency (Hz)	Current PSD (A/sqrt(Hz))
0.00000E+0	335.996E-15
1.56250E+0	236.831E-15
3.12500E+0	25.9672E-15
4.68750E+0	20.6640E-15
6.25000E+0	32.7636E-15
7.81250E+0	32.8377E-15
9.37500E+0	28.4681E-15
10.9375E+0	29.1520E-15
12.5000E+0	28.1871E-15
14.0625E+0	27.4899E-15
15.6250E+0	30.9799E-15
17.1875E+0	33.4212E-15
18.7500E+0	31.0537E-15
20.3125E+0	26.6677E-15
21.8750E+0	31.4850E-15
23.4375E+0	33.2677E-15
25.0000E+0	33.9730E-15
26.5625E+0	31.2925E-15
28.1250E+0	28.8977E-15
29.6875E+0	34.1918E-15
31.2500E+0	37.0236E-15
32.8125E+0	33.2175E-15
34.3750E+0	33.8575E-15
35.9375E+0	50.5422E-15
37.5000E+0	66.3523E-15
39.0625E+0	89.2623E-15
40.6250E+0	54.4850E-15
42.1875E+0	36.4904E-15
43.7500E+0	34.8564E-15
45.3125E+0	41.9853E-15
46.8750E+0	40.1752E-15
48.4375E+0	135.158E-15
50.0000E+0	265.132E-15
51.5625E+0	139.535E-15
53.1250E+0	43.6014E-15
54.6875E+0	39.4256E-15
56.2500E+0	38.7796E-15
57.8125E+0	41.2008E-15
59.3750E+0	35.5652E-15
60.9375E+0	33.7013E-15
62.5000E+0	33.7634E-15
64.0625E+0	43.7640E-15
65.6250E+0	46.5205E-15
67.1875E+0	48.2256E-15
68.7500E+0	53.7125E-15
70.3125E+0	61.1546E-15
71.8750E+0	55.9579E-15
73.4375E+0	51.2660E-15
75.0000E+0	63.4791E-15
76.5625E+0	59.3441E-15
78.1250E+0	58.4088E-15
79.6875E+0	63.7040E-15
81.2500E+0	56.5566E-15
82.8125E+0	64.1990E-15
84.3750E+0	60.9429E-15
85.9375E+0	58.4900E-15
87.5000E+0	53.7967E-15
89.0625E+0	59.8250E-15
90.6250E+0	59.8039E-15
92.1875E+0	60.9256E-15
93.7500E+0	60.3658E-15
95.3125E+0	53.2874E-15
96.8750E+0	62.4903E-15
98.4375E+0	82.6191E-15
100.000E+0	123.218E-15
101.562E+0	97.3517E-15
103.125E+0	61.7548E-15
104.687E+0	71.7217E-15
106.250E+0	87.9898E-15
107.812E+0	83.1183E-15
109.375E+0	64.8088E-15
110.937E+0	63.4135E-15
112.500E+0	66.8467E-15
114.062E+0	70.6419E-15
115.625E+0	84.0606E-15
117.187E+0	94.9138E-15
118.750E+0	83.3086E-15
120.312E+0	66.8544E-15
121.875E+0	76.4742E-15
123.437E+0	60.3100E-15
125.000E+0	66.9717E-15
126.562E+0	67.5442E-15
128.125E+0	81.7240E-15
129.687E+0	82.8132E-15
131.250E+0	86.1016E-15
132.812E+0	82.3575E-15
134.375E+0	102.433E-15
135.937E+0	92.8288E-15
137.500E+0	74.8900E-15
139.062E+0	71.3555E-15
140.625E+0	81.7989E-15
142.187E+0	95.5709E-15
143.750E+0	96.0168E-15
145.312E+0	99.5542E-15
146.875E+0	115.454E-15
148.437E+0	765.904E-15
150.000E+0	1.42489E-12
151.562E+0	678.793E-15
153.125E+0	103.115E-15
154.687E+0	104.196E-15
156.250E+0	95.8370E-15
157.812E+0	99.2720E-15
159.375E+0	94.4803E-15
160.937E+0	96.6944E-15
162.500E+0	103.197E-15
164.062E+0	95.5137E-15
165.625E+0	91.2170E-15
167.187E+0	102.572E-15
168.750E+0	100.397E-15
170.312E+0	114.893E-15
171.875E+0	105.459E-15
173.437E+0	94.9253E-15
175.000E+0	109.984E-15
176.562E+0	93.0433E-15
178.125E+0	95.0653E-15
179.687E+0	118.442E-15
181.250E+0	116.012E-15
182.812E+0	116.493E-15
184.375E+0	115.631E-15
185.937E+0	135.772E-15
187.500E+0	136.331E-15
189.062E+0	114.782E-15
190.625E+0	165.257E-15
192.187E+0	135.649E-15
193.750E+0	198.403E-15
195.312E+0	231.635E-15
196.875E+0	717.744E-15
198.437E+0	1.49637E-12
200.000E+0	824.059E-15
201.562E+0	167.505E-15
203.125E+0	232.488E-15
204.687E+0	230.452E-15
206.250E+0	169.412E-15
207.812E+0	164.057E-15
209.375E+0	157.402E-15
210.937E+0	117.291E-15
212.500E+0	104.995E-15
214.062E+0	92.0207E-15
215.625E+0	92.9365E-15
217.187E+0	111.378E-15
218.750E+0	132.645E-15
220.312E+0	110.786E-15
221.875E+0	115.473E-15
223.437E+0	110.239E-15
225.000E+0	109.134E-15
226.562E+0	108.707E-15
228.125E+0	98.8807E-15
229.687E+0	126.860E-15
231.250E+0	124.022E-15
232.812E+0	122.494E-15
234.375E+0	129.111E-15
235.937E+0	111.516E-15
237.500E+0	117.906E-15
239.062E+0	118.481E-15
240.625E+0	118.362E-15
242.187E+0	98.9295E-15
243.750E+0	102.002E-15
245.312E+0	130.806E-15
246.875E+0	153.810E-15
248.437E+0	153.531E-15
250.000E+0	131.437E-15
251.562E+0	111.174E-15
253.125E+0	131.753E-15
254.687E+0	116.875E-15
256.250E+0	124.978E-15
257.812E+0	142.440E-15
259.375E+0	148.489E-15
260.937E+0	127.599E-15
262.500E+0	128.269E-15
264.062E+0	117.688E-15
265.625E+0	110.437E-15
267.187E+0	117.057E-15
268.750E+0	137.915E-15
270.312E+0	150.398E-15
271.875E+0	111.617E-15
273.437E+0	116.415E-15
275.000E+0	143.386E-15
276.562E+0	127.786E-15
278.125E+0	114.073E-15
279.687E+0	171.110E-15
281.250E+0	179.668E-15
282.812E+0	150.453E-15
284.375E+0	154.171E-15
285.937E+0	124.201E-15
287.500E+0	116.276E-15
289.062E+0	118.253E-15
290.625E+0	134.609E-15
292.187E+0	182.060E-15
293.750E+0	227.643E-15
295.312E+0	225.265E-15
296.875E+0	197.569E-15
298.437E+0	185.050E-15
300.000E+0	167.570E-15
301.562E+0	157.390E-15
303.125E+0	157.038E-15
304.687E+0	135.031E-15
306.250E+0	162.178E-15
307.812E+0	188.564E-15
309.375E+0	157.353E-15
310.937E+0	133.961E-15
312.500E+0	136.628E-15
314.062E+0	144.967E-15
315.625E+0	143.965E-15
317.187E+0	156.163E-15
318.750E+0	163.785E-15
320.312E+0	151.770E-15
321.875E+0	134.221E-15
323.437E+0	144.516E-15
325.000E+0	134.958E-15
326.562E+0	141.840E-15
328.125E+0	139.453E-15
329.687E+0	124.550E-15
331.250E+0	139.372E-15
332.812E+0	137.916E-15
334.375E+0	139.178E-15
335.937E+0	127.680E-15
337.500E+0	139.220E-15
339.062E+0	138.839E-15
340.625E+0	168.462E-15
342.187E+0	157.978E-15
343.750E+0	140.868E-15
345.312E+0	133.224E-15
346.875E+0	147.458E-15
348.437E+0	252.020E-15
350.000E+0	536.791E-15
351.562E+0	347.550E-15
353.125E+0	197.200E-15
354.687E+0	160.032E-15
356.250E+0	143.606E-15
357.812E+0	143.850E-15
359.375E+0	124.513E-15
360.937E+0	128.281E-15
362.500E+0	158.933E-15
364.062E+0	165.282E-15
365.625E+0	154.368E-15
367.187E+0	150.025E-15
368.750E+0	138.120E-15
370.312E+0	160.432E-15
371.875E+0	139.102E-15
373.437E+0	144.592E-15
375.000E+0	147.295E-15
376.562E+0	141.662E-15
378.125E+0	146.712E-15
379.687E+0	180.792E-15
381.250E+0	179.982E-15
382.812E+0	162.742E-15
384.375E+0	169.914E-15
385.937E+0	171.902E-15
387.500E+0	178.304E-15
389.062E+0	210.218E-15
390.625E+0	198.312E-15
392.187E+0	225.956E-15
393.750E+0	265.789E-15
395.312E+0	368.276E-15
396.875E+0	700.561E-15
398.437E+0	453.037E-15
