Experiment	CLAM-python-txt
Date	28/01/16 11:49
User	Danilo A. Zanin
Clam Mode	CAE
Pass Energy (eV)	100.0
Focus Mode	3
Focus Value	0.6
Integration Time (ms)	100.0
Loops	2
Channeltron Rear (V)	3600.0
Channeltron Front (V)	200.0
Comment	Header modified manually to use functions of nanonis

[DATA]
Energy [eV]	Counts	L1 [V]	L2 [V]	Ch_rear [V]	Ch_front [V]	H+ [V]	H- [V]	Retarder [V]
30.0	0	79.14	79.14	3770.0	170.0	88.8679245283	51.1320754717	70.0
30.25	0	79.7995	79.7995	3769.75	169.75	88.6179245283	50.8820754717	69.75
30.5	0	80.459	80.459	3769.5	169.5	88.3679245283	50.6320754717	69.5
30.75	0	81.1185	81.1185	3769.25	169.25	88.1179245283	50.3820754717	69.25
31.0	0	81.778	81.778	3769.0	169.0	87.8679245283	50.1320754717	69.0
31.25	0	82.4375	82.4375	3768.75	168.75	87.6179245283	49.8820754717	68.75
31.5	0	83.097	83.097	3768.5	168.5	87.3679245283	49.6320754717	68.5
31.75	0	83.7565	83.7565	3768.25	168.25	87.1179245283	49.3820754717	68.25
32.0	0	84.416	84.416	3768.0	168.0	86.8679245283	49.1320754717	68.0
32.25	0	85.0755	85.0755	3767.75	167.75	86.6179245283	48.8820754717	67.75
32.5	0	85.735	85.735	3767.5	167.5	86.3679245283	48.6320754717	67.5
32.75	0	86.3945	86.3945	3767.25	167.25	86.1179245283	48.3820754717	67.25
33.0	0	87.054	87.054	3767.0	167.0	85.8679245283	48.1320754717	67.0
33.25	0	87.7135	87.7135	3766.75	166.75	85.6179245283	47.8820754717	66.75
33.5	0	88.373	88.373	3766.5	166.5	85.3679245283	47.6320754717	66.5
33.75	0	89.0325	89.0325	3766.25	166.25	85.1179245283	47.3820754717	66.25
34.0	0	89.692	89.692	3766.0	166.0	84.8679245283	47.1320754717	66.0
34.25	0	90.3515	90.3515	3765.75	165.75	84.6179245283	46.8820754717	65.75
34.5	0	91.011	91.011	3765.5	165.5	84.3679245283	46.6320754717	65.5
34.75	0	91.6705	91.6705	3765.25	165.25	84.1179245283	46.3820754717	65.25
35.0	0	92.33	92.33	3765.0	165.0	83.8679245283	46.1320754717	65.0
35.25	0	92.9895	92.9895	3764.75	164.75	83.6179245283	45.8820754717	64.75
35.5	0	93.649	93.649	3764.5	164.5	83.3679245283	45.6320754717	64.5
35.75	0	94.3085	94.3085	3764.25	164.25	83.1179245283	45.3820754717	64.25
36.0	0	94.968	94.968	3764.0	164.0	82.8679245283	45.1320754717	64.0
36.25	0	95.6275	95.6275	3763.75	163.75	82.6179245283	44.8820754717	63.75
36.5	0	96.287	96.287	3763.5	163.5	82.3679245283	44.6320754717	63.5
36.75	0	96.9465	96.9465	3763.25	163.25	82.1179245283	44.3820754717	63.25
37.0	0	97.606	97.606	3763.0	163.0	81.8679245283	44.1320754717	63.0
37.25	0	98.2655	98.2655	3762.75	162.75	81.6179245283	43.8820754717	62.75
