Experiment	CLAMPoints-dat	
Date	04.05.2016 18:50:04	
User		
X (m)	-2.000000E-7	
Y (m)	-2.000000E-7	
Tip Information	Tip  (  )	
Sample material		
CLAM Mode	0	
Pass Energy (eV)	100.000000	
Retarding Ratio	10.000000	
Focus Mode	1	
Focus (%)	0.600000	
Channeltron front (V)	200.000000	
Channeltron rear (V)	3600.000000	
Integration Time (ms)	100.000000	

[DATA]
Energy (eV)	Current (A)	Counter 2 (cps)	Bias (V)	Z (m)
8.00000E+0	-6.78372E-9	0.00000E+0	-85.4000E+0	-187.000E-9
8.20000E+0	-6.81259E-9	0.00000E+0	-85.4000E+0	-187.000E-9
8.40000E+0	-6.77052E-9	0.00000E+0	-85.4000E+0	-187.000E-9
8.60000E+0	-6.68761E-9	0.00000E+0	-85.4000E+0	-187.000E-9
8.80000E+0	-6.77479E-9	0.00000E+0	-85.4000E+0	-187.000E-9
9.00000E+0	-6.79525E-9	0.00000E+0	-85.4000E+0	-187.000E-9
9.20000E+0	-6.30603E-9	0.00000E+0	-85.4000E+0	-187.000E-9
9.40000E+0	-6.60584E-9	0.00000E+0	-85.4000E+0	-187.000E-9
9.60000E+0	-6.61253E-9	0.00000E+0	-85.4000E+0	-187.000E-9
9.80000E+0	-6.59980E-9	0.00000E+0	-85.4000E+0	-187.000E-9
10.0000E+0	-6.58667E-9	0.00000E+0	-85.4000E+0	-187.000E-9
10.2000E+0	-6.52958E-9	0.00000E+0	-85.4000E+0	-187.000E-9
10.4000E+0	-6.55044E-9	0.00000E+0	-85.4000E+0	-187.000E-9
10.6000E+0	-6.53207E-9	0.00000E+0	-85.4000E+0	-187.000E-9
10.8000E+0	-6.62777E-9	0.00000E+0	-85.4000E+0	-187.000E-9
11.0000E+0	-9.84743E-9	0.00000E+0	-85.4000E+0	-187.000E-9
11.2000E+0	-9.79636E-9	50.0000E+0	-85.4000E+0	-187.000E-9
11.4000E+0	-9.88674E-9	50.0000E+0	-85.4000E+0	-187.000E-9
11.6000E+0	-8.40007E-9	50.0000E+0	-85.4000E+0	-187.000E-9
11.8000E+0	-8.44721E-9	0.00000E+0	-85.4000E+0	-187.000E-9
12.0000E+0	-8.43993E-9	0.00000E+0	-85.4000E+0	-187.000E-9
12.2000E+0	-8.46041E-9	0.00000E+0	-85.4000E+0	-187.000E-9
12.4000E+0	-8.44973E-9	0.00000E+0	-85.4000E+0	-187.000E-9
12.6000E+0	-8.45718E-9	50.0000E+0	-85.4000E+0	-187.000E-9
12.8000E+0	-8.44878E-9	50.0000E+0	-85.4000E+0	-187.000E-9
13.0000E+0	-8.59663E-9	0.00000E+0	-85.4000E+0	-187.000E-9
13.2000E+0	-9.40846E-9	0.00000E+0	-85.4000E+0	-187.000E-9
13.4000E+0	-9.47168E-9	50.0000E+0	-85.4000E+0	-187.000E-9
13.6000E+0	-9.58736E-9	0.00000E+0	-85.4000E+0	-187.000E-9
13.8000E+0	-9.51264E-9	50.0000E+0	-85.4000E+0	-187.000E-9
14.0000E+0	-9.66474E-9	0.00000E+0	-85.4000E+0	-187.000E-9
14.2000E+0	-9.43175E-9	0.00000E+0	-85.4000E+0	-187.000E-9
14.4000E+0	-49.4231E-9	300.000E+0	-85.4000E+0	-187.000E-9
14.6000E+0	-49.4231E-9	150.000E+0	-85.4000E+0	-187.000E-9
14.8000E+0	-49.4229E-9	600.000E+0	-85.4000E+0	-187.000E-9
15.0000E+0	-49.4230E-9	350.000E+0	-85.4000E+0	-187.000E-9
15.2000E+0	-49.4231E-9	300.000E+0	-85.4000E+0	-187.000E-9
15.4000E+0	-49.4231E-9	300.000E+0	-85.4000E+0	-187.000E-9
15.6000E+0	-49.4231E-9	250.000E+0	-85.4000E+0	-187.000E-9
