Experiment	CLAMPoints-dat	
Date	14.06.2016 18:06:47	
User	Danilo	
X (m)	8.394886E-8	
Y (m)	-3.323447E-8	
Tip Information	Tip  (  )	
Sample material		
CLAM Mode	0	
Pass Energy (eV)	50.000000	
Retarding Ratio	10.000000	
Focus Mode	1	
Focus (%)	0.600000	
Channeltron front (V)	200.000000	
Channeltron rear (V)	3600.000000	
Integration Time (ms)	100.000000
loops	1

[DATA]
Energy (eV)	Current (A)	CLAM ctr (cp int.time)	Bias (V)	Z (m)
28.0000E+0	-453.290E-9	0.00000E+0	-99.4000E+0	-100.000E-9
28.0000E+0	-449.075E-9	0.00000E+0	-99.4000E+0	-100.000E-9
28.2500E+0	-451.522E-9	0.00000E+0	-99.4000E+0	-100.000E-9
28.2500E+0	-450.717E-9	0.00000E+0	-99.4000E+0	-100.000E-9
28.5000E+0	-451.511E-9	0.00000E+0	-99.4000E+0	-100.000E-9
28.5000E+0	-450.484E-9	0.00000E+0	-99.4000E+0	-100.000E-9
28.7500E+0	-451.389E-9	0.00000E+0	-99.4000E+0	-100.000E-9
28.7500E+0	-449.975E-9	0.00000E+0	-99.4000E+0	-100.000E-9
29.0000E+0	-450.425E-9	0.00000E+0	-99.4000E+0	-100.000E-9
29.0000E+0	-449.698E-9	0.00000E+0	-99.4000E+0	-100.000E-9
29.2500E+0	-450.494E-9	0.00000E+0	-99.4000E+0	-100.000E-9
29.2500E+0	-449.462E-9	0.00000E+0	-99.4000E+0	-100.000E-9
29.5000E+0	-450.311E-9	0.00000E+0	-99.4000E+0	-100.000E-9
29.5000E+0	-449.656E-9	0.00000E+0	-99.4000E+0	-100.000E-9
29.7500E+0	-448.494E-9	0.00000E+0	-99.4000E+0	-100.000E-9
29.7500E+0	-449.490E-9	0.00000E+0	-99.4000E+0	-100.000E-9
30.0000E+0	-450.629E-9	1.00000E+0	-99.4000E+0	-100.000E-9
30.0000E+0	-448.639E-9	0.00000E+0	-99.4000E+0	-100.000E-9
30.2500E+0	-450.004E-9	0.00000E+0	-99.4000E+0	-100.000E-9
30.2500E+0	-449.415E-9	3.00000E+0	-99.4000E+0	-100.000E-9
30.5000E+0	-449.676E-9	2.00000E+0	-99.4000E+0	-100.000E-9
30.5000E+0	-449.763E-9	0.00000E+0	-99.4000E+0	-100.000E-9
30.7500E+0	-447.982E-9	4.00000E+0	-99.4000E+0	-100.000E-9
30.7500E+0	-450.202E-9	2.00000E+0	-99.4000E+0	-100.000E-9
31.0000E+0	-447.088E-9	1.00000E+0	-99.4000E+0	-100.000E-9
31.0000E+0	-450.574E-9	5.00000E+0	-99.4000E+0	-100.000E-9
31.2500E+0	-449.389E-9	3.00000E+0	-99.4000E+0	-100.000E-9
31.2500E+0	-449.382E-9	3.00000E+0	-99.4000E+0	-100.000E-9
31.5000E+0	-449.953E-9	6.00000E+0	-99.4000E+0	-100.000E-9
31.5000E+0	-448.275E-9	5.00000E+0	-99.4000E+0	-100.000E-9
31.7500E+0	-447.519E-9	7.00000E+0	-99.4000E+0	-100.000E-9
31.7500E+0	-448.094E-9	9.00000E+0	-99.4000E+0	-100.000E-9
32.0000E+0	-449.368E-9	10.0000E+0	-99.4000E+0	-100.000E-9
32.0000E+0	-443.646E-9	7.00000E+0	-99.4000E+0	-100.000E-9
32.2500E+0	-442.758E-9	7.00000E+0	-99.4000E+0	-100.000E-9
32.2500E+0	-452.916E-9	17.0000E+0	-99.4000E+0	-100.000E-9
32.5000E+0	-452.683E-9	14.0000E+0	-99.4000E+0	-100.000E-9
32.5000E+0	-451.174E-9	22.0000E+0	-99.4000E+0	-100.000E-9
32.7500E+0	-451.809E-9	23.0000E+0	-99.4000E+0	-100.000E-9
32.7500E+0	-450.532E-9	22.0000E+0	-99.4000E+0	-100.000E-9
33.0000E+0	-449.181E-9	23.0000E+0	-99.4000E+0	-100.000E-9
33.0000E+0	-450.676E-9	21.0000E+0	-99.4000E+0	-100.000E-9
33.2500E+0	-451.447E-9	23.0000E+0	-99.4000E+0	-100.000E-9
33.2500E+0	-452.209E-9	34.0000E+0	-99.4000E+0	-100.000E-9
33.5000E+0	-449.659E-9	29.0000E+0	-99.4000E+0	-100.000E-9
33.5000E+0	-449.724E-9	20.0000E+0	-99.4000E+0	-100.000E-9
33.7500E+0	-451.175E-9	23.0000E+0	-99.4000E+0	-100.000E-9
33.7500E+0	-451.690E-9	28.0000E+0	-99.4000E+0	-100.000E-9
34.0000E+0	-450.811E-9	26.0000E+0	-99.4000E+0	-100.000E-9
34.0000E+0	-452.065E-9	16.0000E+0	-99.4000E+0	-100.000E-9
34.2500E+0	-451.741E-9	30.0000E+0	-99.4000E+0	-100.000E-9
34.2500E+0	-449.534E-9	32.0000E+0	-99.4000E+0	-100.000E-9
34.5000E+0	-450.831E-9	31.0000E+0	-99.4000E+0	-100.000E-9
34.5000E+0	-451.799E-9	44.0000E+0	-99.4000E+0	-100.000E-9
34.7500E+0	-452.487E-9	47.0000E+0	-99.4000E+0	-100.000E-9
34.7500E+0	-451.539E-9	39.0000E+0	-99.4000E+0	-100.000E-9
35.0000E+0	-448.720E-9	36.0000E+0	-99.4000E+0	-100.000E-9
35.0000E+0	-448.899E-9	42.0000E+0	-99.4000E+0	-100.000E-9
35.2500E+0	-451.891E-9	46.0000E+0	-99.4000E+0	-100.000E-9
