Experiment	myLongTerm	
Date	28.01.2016 13:44:25	
User	Danilo	
Tip Information		
Sample material		

[DATA]
Time (s)	Current (A)	Counter 1 (cps)	Bias (V)	Z (m)
0.00000E+0	-327.611E-12	0.00000E+0	-7.00000E+0	-54.0128E-9
100.000E-3	-328.389E-12	0.00000E+0	-7.00000E+0	-54.0131E-9
200.000E-3	-317.067E-12	0.00000E+0	-7.00000E+0	-54.0110E-9
300.000E-3	-321.569E-12	0.00000E+0	-7.00000E+0	-54.0094E-9
400.000E-3	-321.256E-12	0.00000E+0	-7.00000E+0	-54.0085E-9
500.000E-3	-324.766E-12	0.00000E+0	-7.00000E+0	-54.0082E-9
600.000E-3	-325.559E-12	0.00000E+0	-7.00000E+0	-54.0120E-9
700.000E-3	-326.001E-12	0.00000E+0	-7.00000E+0	-54.0135E-9
800.000E-3	-336.881E-12	0.00000E+0	-7.00000E+0	-54.0132E-9
900.000E-3	-317.121E-12	0.00000E+0	-7.00000E+0	-54.0118E-9
1.00000E+0	-327.665E-12	0.00000E+0	-7.00000E+0	-54.0099E-9
1.10000E+0	-322.011E-12	0.00000E+0	-7.00000E+0	-54.0080E-9
1.20000E+0	-329.046E-12	0.00000E+0	-7.00000E+0	-54.0099E-9
1.30000E+0	-337.240E-12	0.00000E+0	-7.00000E+0	-54.0110E-9
1.40000E+0	-330.747E-12	0.00000E+0	-7.00000E+0	-54.0122E-9
1.50000E+0	-325.925E-12	0.00000E+0	-7.00000E+0	-54.0130E-9
1.60000E+0	-320.630E-12	0.00000E+0	-7.00000E+0	-54.0103E-9
1.70000E+0	-317.830E-12	0.00000E+0	-7.00000E+0	-54.0093E-9
1.80000E+0	-326.574E-12	0.00000E+0	-7.00000E+0	-54.0093E-9
1.90000E+0	-315.000E-12	0.00000E+0	-7.00000E+0	-54.0085E-9
2.00000E+0	-323.186E-12	0.00000E+0	-7.00000E+0	-54.0101E-9
2.10000E+0	-321.416E-12	0.00000E+0	-7.00000E+0	-54.0108E-9
2.20000E+0	-333.982E-12	0.00000E+0	-7.00000E+0	-54.0119E-9
2.30000E+0	-321.302E-12	0.00000E+0	-7.00000E+0	-54.0105E-9
2.40000E+0	-319.677E-12	0.00000E+0	-7.00000E+0	-54.0094E-9
2.50000E+0	-341.253E-12	0.00000E+0	-7.00000E+0	-54.0103E-9
2.60000E+0	-317.632E-12	0.00000E+0	-7.00000E+0	-54.0083E-9
2.70000E+0	-324.621E-12	0.00000E+0	-7.00000E+0	-54.0095E-9
2.80000E+0	-329.999E-12	0.00000E+0	-7.00000E+0	-54.0113E-9
2.90000E+0	-327.649E-12	0.00000E+0	-7.00000E+0	-54.0129E-9
3.00000E+0	-328.031E-12	0.00000E+0	-7.00000E+0	-54.0117E-9
3.10000E+0	-327.077E-12	0.00000E+0	-7.00000E+0	-54.0103E-9
3.20000E+0	-314.260E-12	0.00000E+0	-7.00000E+0	-54.0081E-9
3.30000E+0	-323.903E-12	0.00000E+0	-7.00000E+0	-54.0088E-9
3.40000E+0	-319.166E-12	0.00000E+0	-7.00000E+0	-54.0101E-9
3.50000E+0	-323.385E-12	0.00000E+0	-7.00000E+0	-54.0114E-9
3.60000E+0	-324.994E-12	0.00000E+0	-7.00000E+0	-54.0126E-9
3.70000E+0	-325.986E-12	0.00000E+0	-7.00000E+0	-54.0123E-9
3.80000E+0	-312.894E-12	0.00000E+0	-7.00000E+0	-54.0094E-9
3.90000E+0	-321.470E-12	0.00000E+0	-7.00000E+0	-54.0096E-9
4.00000E+0	-329.244E-12	0.00000E+0	-7.00000E+0	-54.0109E-9
4.10000E+0	-325.956E-12	0.00000E+0	-7.00000E+0	-54.0103E-9
4.20000E+0	-330.266E-12	0.00000E+0	-7.00000E+0	-54.0117E-9
4.30000E+0	-326.551E-12	0.00000E+0	-7.00000E+0	-54.0114E-9
4.40000E+0	-320.020E-12	0.00000E+0	-7.00000E+0	-54.0112E-9
4.50000E+0	-328.748E-12	0.00000E+0	-7.00000E+0	-54.0120E-9
4.60000E+0	-341.390E-12	0.00000E+0	-7.00000E+0	-54.0115E-9
4.70000E+0	-320.539E-12	0.00000E+0	-7.00000E+0	-54.0099E-9
4.80000E+0	-338.682E-12	0.00000E+0	-7.00000E+0	-54.0114E-9
